10002,176,ELDRIDGE                      ,ST        ,LIHTC               ,,MULTIPLE DWELLING   
10002,17,ELDRIDGE                      ,ST        ,MULTIPLE DWELLING   ,,                    
10002,89 TO 91            ,ELDRIDGE                      ,ST        ,,,
10002,21,ESSEX                         ,ST        ,MULTIPLE DWELLING B ,,                    
10002,19,ESSEX                         ,ST        ,                    ,,                    
10002,27.5,ESSEX                         ,ST        ,                    ,,                    
10002,41,ESSEX                         ,ST        ,                    ,,                    
10002,31,ESSEX                         ,ST        ,                    ,,                    
10002,141,ESSEX                         ,ST        ,                    ,,                    
10002,153 TO 155          ,ESSEX                         ,ST        ,                    ,,                    
10002,115,ESSEX                         ,ST        ,                    ,,                    
10002,13,ESSEX                         ,ST        ,                    ,,                    
10002,15,ESSEX                         ,ST        ,                    ,,                    
10002,159,ESSEX                         ,ST        ,                    ,,                    
10002,11,ESSEX                         ,ST        ,                    ,,                    
10002,23,ESSEX                         ,ST        ,                    ,,                    
10002,45,ESSEX                         ,ST        ,                    ,,                    
10002,29,ESSEX                         ,ST        ,                    ,,                    
10002,147,ESSEX                         ,ST        ,                    ,,                    
10002,145,ESSEX                         ,ST        ,                    ,,                    
10002,143,ESSEX                         ,ST        ,                    ,,                    
10002,49,ESSEX                         ,ST        ,                    ,,                    
10002,47,ESSEX                         ,ST        ,                    ,,                    
10002,43,ESSEX                         ,ST        ,APT BUILDING 10     ,,                    
10002,148,FORSYTH                       ,ST        ,                    ,                    ,                    
10002,76,FORSYTH                       ,ST        ,                    ,,                    
10002,124,FORSYTH                       ,ST        ,                    ,,                    
10002,68,FORSYTH                       ,ST        ,                    ,,                    
10002,104,FORSYTH                       ,ST        ,                    ,,                    
10002,74,FORSYTH                       ,ST        ,                    ,,                    
10002,62 TO 64            ,FORSYTH                       ,ST        ,                    ,,                    
10002,72,FORSYTH                       ,ST        ,                    ,,                    
10002,70,FORSYTH                       ,ST        ,                    ,,                    
10002,122,FORSYTH                       ,ST        ,                    ,,                    
10002,28,FORSYTH                       ,ST        ,                    ,,                    
10002,100 TO 102          ,FORSYTH                       ,ST        ,                    ,,                    
10002,146,FORSYTH                       ,ST        ,                    ,,                    
10002,78,FORSYTH                       ,ST        ,                    ,,                    
10002,120,FORSYTH                       ,ST        ,                    ,,                    
10002,285,GRAND                         ,ST        ,                    ,,                    
10002,283,GRAND                         ,ST        ,                    ,,                    
10002,289,GRAND                         ,          ,,,
10002,219,HENRY                         ,ST        ,ROOMING HOUSE       ,MULTIPLE DWELLING B ,                    
10002,83,HENRY                         ,ST        ,                    ,                    ,                    
10002,233 TO 235          ,HENRY                         ,ST        ,                    ,                    ,                    
10002,58,HENRY                         ,ST        ,                    ,                    ,                    
10002,44,HENRY                         ,ST        ,                    ,                    ,                    
10002,166,HENRY                         ,ST        ,                    ,                    ,                    
10002,30,HENRY                         ,ST        ,                    ,                    ,                    
10002,199,HENRY                         ,ST        ,                    ,,                    
